program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_new/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,c2,88.8,477,537,80.8,21,26,73.48%,-1,26,-1
/home/administrator/Desktop/exp500_new/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,c2,81.7,397,486,88.2,15,17,58.50%,-1,20,-1
/home/administrator/Desktop/exp500_new/cfiles32/openssl/s3_srvr.blast.06.i.cil-1.c,c2,73.4,315,429,33.3,2,6,68.24%,1.303999901,51,14
/home/administrator/Desktop/exp500_new/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,c2,74.9,304,406,33.3,2,6,74.88%,-1,65,-1
/home/administrator/Desktop/exp500_new/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,c2,74.9,304,406,33.3,2,6,74.88%,-1,70,-1
/home/administrator/Desktop/exp500_new/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,c2,72.5,300,414,33.3,2,6,68.95%,-1,48,-1
/home/administrator/Desktop/exp500_new/cfiles32/openssl-simplified/s3_clnt_2.cil-1.c,c2,87.9,304,346,66.7,2,3,74.86%,6.296000004,35,4
/home/administrator/Desktop/exp500_new/cfiles32/openssl-simplified/s3_clnt_3.cil-3.c,c2,86.8,308,355,66.7,2,3,74.86%,-1,33,-1
/home/administrator/Desktop/exp500_new/cfiles32/openssl-simplified/s3_srvr_2.cil-2.c,c2,0,0,0,0,0,0,26.40%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/openssl-simplified/s3_srvr_8.cil.c,c2,74.2,294,396,66.7,2,3,64.11%,-1,45,-1
/home/administrator/Desktop/exp500_new/cfiles32/psyco/psyco_accelerometer_1.c,c2,0,0,0,0,0,0,2.64%,-1,1,-1
